Year,Measurement_Region,January_Average_Temperature,February_Average_Temperature,March_Average_Temperature,April_Average_Temperature,May_Average_Temperature,June_Average_Temperature,July_Average_Temperature,August_Average_Temperature,September_Average_Temperature,October_Average_Temperature,November_Average_Temperature,December_Average_Temperature,January_December_Average_Temperature,December_November_Average_Temperature,Seasonal_Temperature_December_January_February,Seasonal_Temperature_March_April_May,Seasonal_Temperature_June_July_August,Seasonal_Temperature_September_October_November
1993,Northern Hemisphere Land,0.47,0.65,0.51,0.3,0.42,0.33,0.23,0.11,-0.03,0.19,-0.17,0.31,0.28,0.28,0.49,0.41,0.22,0
1993,Southern Hemisphere Land,0.35,0.22,0.2,0.33,0.18,0.23,0.55,0.32,0.22,0.28,0.32,0.11,0.28,0.28,0.24,0.24,0.37,0.27
1992,Global Land & Ocean,0.44,0.42,0.47,0.24,0.32,0.25,0.12,0.07,0,0.09,0.03,0.21,0.22,0.23,0.39,0.34,0.15,0.04
1992,Northern Hemisphere Land & Ocean,0.53,0.48,0.49,0.09,0.18,0.04,-0.08,-0.07,-0.2,-0.14,-0.09,0.22,0.12,0.12,0.41,0.25,-0.04,-0.14
1992,Southern Hemisphere Land & Ocean,0.34,0.34,0.45,0.39,0.47,0.48,0.32,0.22,0.2,0.31,0.14,0.2,0.32,0.34,0.37,0.43,0.34,0.22
1992,Global Land,0.51,0.43,0.55,0.24,0.28,0.31,0.08,0.14,-0.02,0.09,0.03,0.25,0.24,0.25,0.42,0.35,0.18,0.03
1992,Northern Hemisphere Land,0.7,0.62,0.64,0.18,0.23,0.07,-0.11,0.01,-0.17,-0.18,-0.07,0.36,0.19,0.19,0.55,0.35,-0.01,-0.14
1992,Southern Hemisphere Land,0.37,0.28,0.47,0.3,0.34,0.52,0.25,0.25,0.1,0.33,0.12,0.16,0.29,0.31,0.33,0.37,0.34,0.18
1991,Global Land & Ocean,0.4,0.49,0.35,0.52,0.38,0.53,0.48,0.39,0.48,0.3,0.31,0.32,0.41,0.42,0.43,0.42,0.47,0.36
1991,Northern Hemisphere Land & Ocean,0.55,0.52,0.46,0.55,0.37,0.44,0.45,0.35,0.38,0.29,0.35,0.21,0.41,0.42,0.48,0.46,0.41,0.34
1991,Southern Hemisphere Land & Ocean,0.26,0.47,0.24,0.49,0.39,0.61,0.51,0.44,0.58,0.3,0.27,0.44,0.42,0.42,0.39,0.37,0.52,0.38
1991,Global Land,0.5,0.63,0.49,0.74,0.44,0.7,0.64,0.57,0.63,0.37,0.34,0.34,0.53,0.54,0.54,0.55,0.64,0.45
1991,Northern Hemisphere Land,0.62,0.62,0.63,0.7,0.46,0.56,0.6,0.48,0.56,0.43,0.44,0.34,0.54,0.54,0.56,0.6,0.54,0.48
1991,Southern Hemisphere Land,0.38,0.63,0.37,0.76,0.42,0.85,0.66,0.66,0.68,0.31,0.25,0.34,0.53,0.54,0.51,0.52,0.73,0.41
1990,Global Land & Ocean,0.4,0.41,0.76,0.55,0.46,0.38,0.43,0.3,0.29,0.41,0.45,0.4,0.44,0.43,0.4,0.59,0.37,0.38
1990,Northern Hemisphere Land & Ocean,0.43,0.49,1.14,0.65,0.47,0.48,0.3,0.35,0.4,0.46,0.47,0.36,0.5,0.5,0.43,0.75,0.38,0.44
1990,Southern Hemisphere Land & Ocean,0.36,0.32,0.36,0.44,0.45,0.28,0.55,0.25,0.18,0.37,0.43,0.44,0.37,0.37,0.36,0.42,0.36,0.33
1990,Global Land,0.52,0.41,0.85,0.64,0.55,0.46,0.61,0.42,0.31,0.51,0.54,0.48,0.52,0.52,0.44,0.68,0.5,0.45
1990,Northern Hemisphere Land,0.62,0.51,1.43,0.83,0.56,0.68,0.4,0.54,0.47,0.53,0.56,0.44,0.63,0.62,0.49,0.94,0.54,0.52
1990,Southern Hemisphere Land,0.42,0.32,0.35,0.47,0.55,0.27,0.81,0.3,0.15,0.49,0.52,0.51,0.43,0.42,0.39,0.46,0.46,0.39
1989,Global Land & Ocean,0.14,0.34,0.36,0.33,0.16,0.14,0.33,0.37,0.36,0.31,0.2,0.38,0.29,0.28,0.27,0.28,0.28,0.29
1989,Northern Hemisphere Land & Ocean,0.09,0.47,0.42,0.34,0.21,0.26,0.31,0.28,0.27,0.27,0.12,0.36,0.28,0.29,0.34,0.33,0.28,0.22
1989,Southern Hemisphere Land & Ocean,0.19,0.21,0.29,0.31,0.11,0.03,0.35,0.45,0.45,0.35,0.29,0.4,0.29,0.27,0.19,0.24,0.28,0.36
1989,Global Land,0.25,0.45,0.45,0.42,0.18,0.15,0.48,0.52,0.53,0.43,0.23,0.39,0.37,0.37,0.36,0.35,0.38,0.4
1989,Northern Hemisphere Land,0.22,0.65,0.59,0.51,0.33,0.35,0.41,0.37,0.37,0.35,0.11,0.34,0.38,0.41,0.49,0.48,0.38,0.28
1989,Southern Hemisphere Land,0.28,0.3,0.33,0.35,0.06,-0.03,0.53,0.65,0.67,0.49,0.32,0.43,0.36,0.34,0.25,0.25,0.38,0.49
1988,Global Land & Ocean,0.57,0.43,0.51,0.45,0.43,0.42,0.34,0.46,0.41,0.39,0.12,0.33,0.4,0.42,0.49,0.46,0.41,0.31
1988,Northern Hemisphere Land & Ocean,0.61,0.43,0.48,0.45,0.42,0.4,0.4,0.27,0.27,0.25,0.04,0.46,0.37,0.38,0.52,0.45,0.36,0.19
1988,Southern Hemisphere Land & Ocean,0.53,0.42,0.54,0.45,0.44,0.45,0.28,0.64,0.53,0.53,0.2,0.18,0.43,0.45,0.46,0.48,0.46,0.42
1988,Global Land,0.66,0.48,0.62,0.49,0.61,0.58,0.44,0.56,0.55,0.54,0.18,0.38,0.51,0.52,0.56,0.57,0.53,0.42
1988,Northern Hemisphere Land,0.72,0.57,0.65,0.57,0.63,0.56,0.51,0.4,0.39,0.37,0.08,0.62,0.5,0.51,0.64,0.61,0.49,0.28
1988,Southern Hemisphere Land,0.61,0.4,0.59,0.42,0.59,0.61,0.38,0.72,0.7,0.71,0.27,0.16,0.51,0.54,0.5,0.54,0.57,0.56
1987,Global Land & Ocean,0.35,0.45,0.15,0.22,0.25,0.36,0.45,0.28,0.38,0.31,0.25,0.47,0.33,0.3,0.32,0.21,0.36,0.31
1987,Northern Hemisphere Land & Ocean,0.28,0.55,0,0.07,0.22,0.18,0.27,0.27,0.42,0.23,0.09,0.54,0.26,0.22,0.3,0.1,0.24,0.24
1987,Southern Hemisphere Land & Ocean,0.43,0.34,0.31,0.38,0.29,0.55,0.63,0.3,0.36,0.4,0.43,0.42,0.4,0.39,0.34,0.33,0.49,0.4
1987,Global Land,0.43,0.53,0.25,0.38,0.29,0.55,0.58,0.26,0.35,0.33,0.29,0.56,0.4,0.37,0.39,0.3,0.47,0.33
1987,Northern Hemisphere Land,0.36,0.74,0.16,0.24,0.27,0.31,0.45,0.4,0.53,0.29,0.12,0.64,0.38,0.34,0.43,0.22,0.39,0.31
1987,Southern Hemisphere Land,0.49,0.34,0.34,0.52,0.32,0.76,0.7,0.13,0.18,0.37,0.43,0.48,0.42,0.4,0.35,0.39,0.53,0.33
1986,Global Land & Ocean,0.28,0.38,0.28,0.24,0.24,0.1,0.11,0.11,0,0.13,0.11,0.16,0.18,0.18,0.27,0.25,0.11,0.08
1986,Northern Hemisphere Land & Ocean,0.35,0.32,0.24,0.14,0.18,0.12,-0.03,0.03,-0.01,0.05,0.01,0.08,0.12,0.13,0.27,0.19,0.04,0.02
1986,Southern Hemisphere Land & Ocean,0.21,0.43,0.31,0.34,0.3,0.09,0.25,0.2,0.01,0.22,0.22,0.25,0.24,0.23,0.26,0.32,0.18,0.15
1986,Global Land,0.38,0.51,0.39,0.43,0.33,0.12,0.14,0.2,0.02,0.11,0.12,0.2,0.25,0.24,0.34,0.38,0.15,0.08
1986,Northern Hemisphere Land,0.51,0.43,0.36,0.3,0.26,0.18,0.04,0.13,0,0.07,0.04,0.19,0.21,0.21,0.38,0.31,0.12,0.04
1986,Southern Hemisphere Land,0.28,0.59,0.43,0.55,0.4,0.07,0.24,0.26,0.04,0.14,0.19,0.22,0.28,0.27,0.32,0.46,0.19,0.12
1985,Global Land & Ocean,0.22,-0.06,0.17,0.11,0.16,0.17,-0.01,0.15,0.15,0.11,0.08,0.15,0.12,0.1,0.04,0.15,0.1,0.11
1985,Northern Hemisphere Land & Ocean,0.08,-0.31,-0.01,-0.06,0.07,0.03,-0.1,-0.02,0.02,0.02,0.03,0.14,-0.01,-0.06,-0.22,0,-0.03,0.02
1985,Southern Hemisphere Land & Ocean,0.36,0.19,0.35,0.27,0.25,0.31,0.09,0.3,0.26,0.21,0.14,0.15,0.24,0.25,0.29,0.29,0.23,0.2
1985,Global Land,0.31,0.02,0.26,0.2,0.21,0.26,0.02,0.35,0.25,0.13,0.09,0.14,0.19,0.18,0.12,0.23,0.21,0.16
1985,Northern Hemisphere Land,0.16,-0.2,0.09,0,0.21,0.08,-0.01,0.13,0.1,0.15,-0.01,0.19,0.07,0.03,-0.1,0.1,0.06,0.08
1985,Southern Hemisphere Land,0.45,0.23,0.42,0.39,0.22,0.43,0.06,0.55,0.39,0.11,0.18,0.1,0.3,0.31,0.33,0.34,0.35,0.23
1984,Global Land & Ocean,0.29,0.17,0.29,0.08,0.33,0.05,0.17,0.16,0.21,0.15,0.06,-0.05,0.16,0.18,0.21,0.23,0.12,0.14
1984,Northern Hemisphere Land & Ocean,0.32,0.06,0.2,-0.07,0.22,0.11,0.09,0.03,-0.03,0.06,-0.13,-0.42,0.04,0.08,0.17,0.12,0.08,-0.03
1984,Southern Hemisphere Land & Ocean,0.27,0.28,0.37,0.24,0.44,0,0.25,0.28,0.43,0.25,0.24,0.32,0.28,0.27,0.25,0.35,0.18,0.31
1984,Global Land,0.24,0.16,0.37,0.15,0.46,0.04,0.18,0.27,0.27,0.21,0.11,0.03,0.21,0.22,0.19,0.33,0.16,0.2
1984,Northern Hemisphere Land,0.3,0.1,0.32,0.07,0.35,0.29,0.24,0.24,0.03,0.19,-0.04,-0.28,0.15,0.19,0.2,0.24,0.26,0.06
1984,Southern Hemisphere Land,0.19,0.23,0.41,0.22,0.57,-0.18,0.13,0.29,0.49,0.24,0.25,0.31,0.26,0.25,0.2,0.4,0.08,0.33
1983,Global Land & Ocean,0.52,0.4,0.42,0.31,0.36,0.2,0.17,0.32,0.39,0.16,0.32,0.17,0.31,0.33,0.45,0.36,0.23,0.29
1983,Northern Hemisphere Land & Ocean,0.54,0.36,0.45,0.09,0.05,0.12,0.2,0.24,0.27,0.1,0.53,0.12,0.26,0.28,0.42,0.19,0.19,0.3
1983,Southern Hemisphere Land & Ocean,0.49,0.44,0.4,0.54,0.67,0.3,0.16,0.41,0.5,0.22,0.12,0.22,0.37,0.39,0.47,0.54,0.29,0.28
1983,Global Land,0.49,0.4,0.48,0.4,0.49,0.28,0.21,0.46,0.56,0.34,0.33,0.18,0.38,0.4,0.43,0.46,0.32,0.41
1983,Northern Hemisphere Land,0.63,0.43,0.65,0.21,0.17,0.24,0.39,0.43,0.45,0.26,0.65,0.19,0.39,0.41,0.48,0.34,0.35,0.46
1983,Southern Hemisphere Land,0.4,0.4,0.34,0.59,0.78,0.32,0.04,0.48,0.66,0.4,0.03,0.17,0.39,0.41,0.42,0.57,0.28,0.36
1982,Global Land & Ocean,0.1,0.15,-0.01,0.09,0.15,0.05,0.12,0.07,0.14,0.13,0.15,0.42,0.13,0.13,0.22,0.08,0.08,0.14
1982,Northern Hemisphere Land & Ocean,-0.07,0.16,0.05,0.13,0.07,0.01,0.04,-0.07,0.06,0.01,-0.13,0.36,0.05,0.07,0.22,0.08,-0.01,-0.02
1982,Southern Hemisphere Land & Ocean,0.27,0.15,-0.07,0.06,0.23,0.1,0.21,0.21,0.22,0.25,0.43,0.49,0.21,0.19,0.23,0.08,0.17,0.3
1982,Global Land,0.12,0.25,-0.01,0.03,0.25,0.04,0.18,0.08,0.09,0.01,0.12,0.41,0.13,0.14,0.28,0.09,0.1,0.08
1982,Northern Hemisphere Land,-0.15,0.24,0.1,0.05,0.03,-0.02,0.13,0.03,0.15,-0.02,-0.17,0.39,0.06,0.09,0.26,0.06,0.05,-0.01
1982,Southern Hemisphere Land,0.36,0.26,-0.1,0,0.46,0.1,0.22,0.12,0.02,0.03,0.4,0.46,0.19,0.18,0.29,0.12,0.15,0.15
1981,Global Land & Ocean,0.55,0.41,0.48,0.31,0.24,0.31,0.33,0.32,0.16,0.13,0.23,0.42,0.33,0.31,0.38,0.34,0.32,0.18
1981,Northern Hemisphere Land & Ocean,0.84,0.61,0.68,0.37,0.15,0.3,0.11,0.18,0.18,0.24,0.37,0.57,0.38,0.34,0.5,0.4,0.19,0.26
1981,Southern Hemisphere Land & Ocean,0.24,0.19,0.29,0.24,0.32,0.32,0.55,0.45,0.15,0.03,0.1,0.28,0.26,0.27,0.25,0.28,0.44,0.09
1981,Global Land,0.62,0.57,0.66,0.5,0.33,0.38,0.51,0.54,0.28,0.11,0.22,0.47,0.43,0.41,0.46,0.5,0.48,0.2
1981,Northern Hemisphere Land,1.03,0.88,0.97,0.61,0.24,0.42,0.21,0.33,0.24,0.26,0.48,0.7,0.53,0.47,0.65,0.61,0.32,0.33
1981,Southern Hemisphere Land,0.26,0.28,0.37,0.4,0.42,0.34,0.78,0.72,0.31,-0.04,-0.01,0.26,0.34,0.35,0.28,0.4,0.62,0.09
1980,Global Land & Ocean,0.3,0.42,0.3,0.33,0.35,0.17,0.28,0.23,0.19,0.17,0.29,0.19,0.27,0.29,0.4,0.33,0.23,0.22
1980,Northern Hemisphere Land & Ocean,0.21,0.43,0.07,0.13,0.22,0.18,0.13,0.1,0.07,0.14,0.2,0.06,0.16,0.2,0.39,0.14,0.13,0.14
1980,Southern Hemisphere Land & Ocean,0.39,0.42,0.54,0.53,0.49,0.17,0.43,0.36,0.3,0.21,0.37,0.32,0.38,0.38,0.41,0.52,0.32,0.29
1980,Global Land,0.36,0.46,0.41,0.44,0.46,0.22,0.37,0.31,0.33,0.23,0.29,0.19,0.34,0.37,0.45,0.44,0.3,0.28
1980,Northern Hemisphere Land,0.24,0.47,0.18,0.24,0.32,0.29,0.2,0.11,0.14,0.24,0.3,0.04,0.23,0.28,0.46,0.24,0.2,0.23
1980,Southern Hemisphere Land,0.47,0.45,0.62,0.61,0.6,0.15,0.53,0.49,0.48,0.23,0.28,0.32,0.44,0.44,0.44,0.61,0.39,0.33
1979,Global Land & Ocean,0.12,-0.11,0.18,0.12,0.05,0.13,0.02,0.13,0.25,0.24,0.28,0.47,0.16,0.13,0.04,0.12,0.09,0.25
1979,Northern Hemisphere Land & Ocean,0.03,-0.35,0.17,-0.16,0.01,0.06,0.04,0.04,0.16,0.2,0.24,0.52,0.08,0.04,-0.09,0,0.04,0.2
1979,Southern Hemisphere Land & Ocean,0.22,0.14,0.19,0.41,0.1,0.21,0.01,0.23,0.33,0.27,0.33,0.42,0.24,0.21,0.17,0.24,0.15,0.31
1979,Global Land,0.17,-0.1,0.25,0.2,0.09,0.21,0.04,0.13,0.29,0.27,0.3,0.53,0.2,0.16,0.06,0.18,0.13,0.29
1979,Northern Hemisphere Land,0.06,-0.38,0.3,-0.11,0.09,0.18,0.14,0.08,0.22,0.36,0.31,0.68,0.16,0.12,-0.06,0.09,0.13,0.3
1979,Southern Hemisphere Land,0.26,0.14,0.21,0.47,0.1,0.24,-0.05,0.19,0.36,0.19,0.3,0.4,0.23,0.2,0.15,0.26,0.12,0.28
1978,Global Land & Ocean,0.06,0.13,0.21,0.15,0.06,-0.02,0.03,-0.18,0.05,0,0.15,0.1,0.06,0.05,0.07,0.14,-0.06,0.07
1978,Northern Hemisphere Land & Ocean,0.14,0.13,0.2,0.05,-0.09,-0.15,-0.08,-0.14,-0.01,-0.05,0.16,0.07,0.02,0.01,0.1,0.05,-0.12,0.03
1978,Southern Hemisphere Land & Ocean,-0.02,0.14,0.21,0.24,0.21,0.1,0.14,-0.21,0.11,0.05,0.14,0.14,0.1,0.1,0.05,0.22,0.01,0.1
1978,Global Land,0.13,0.2,0.27,0.27,0.2,0.04,0.19,-0.14,0.15,0.04,0.15,0.11,0.14,0.14,0.16,0.25,0.03,0.11
1978,Northern Hemisphere Land,0.18,0.08,0.29,0.12,0.03,-0.07,-0.01,-0.02,0.04,-0.02,0.21,0.16,0.08,0.08,0.14,0.15,-0.04,0.08
1978,Southern Hemisphere Land,0.09,0.31,0.26,0.39,0.35,0.14,0.38,-0.25,0.25,0.09,0.1,0.06,0.18,0.19,0.18,0.34,0.09,0.15
1977,Global Land & Ocean,0.19,0.22,0.24,0.27,0.29,0.24,0.2,0.15,0,0.02,0.17,0.02,0.17,0.17,0.17,0.27,0.2,0.06
1977,Northern Hemisphere Land & Ocean,-0.15,0.1,0.25,0.27,0.21,0.19,0.06,0.01,0.13,-0.03,0.26,0.01,0.11,0.09,-0.11,0.24,0.09,0.12
1977,Southern Hemisphere Land & Ocean,0.53,0.33,0.23,0.27,0.37,0.28,0.34,0.29,-0.12,0.08,0.08,0.04,0.23,0.26,0.44,0.29,0.3,0.01
1977,Global Land,0.14,0.22,0.31,0.31,0.3,0.32,0.31,0.29,-0.09,0,0.24,0.14,0.21,0.19,0.11,0.3,0.3,0.05
1977,Northern Hemisphere Land,-0.16,0.19,0.4,0.4,0.24,0.3,0.16,0.07,0.18,-0.03,0.36,0.15,0.19,0.15,-0.1,0.35,0.18,0.17
1977,Southern Hemisphere Land,0.43,0.27,0.23,0.23,0.35,0.33,0.45,0.47,-0.33,0.03,0.14,0.13,0.23,0.24,0.32,0.27,0.42,-0.06
1976,Global Land & Ocean,-0.02,-0.06,-0.21,-0.09,-0.24,-0.16,-0.1,-0.15,-0.09,-0.27,-0.04,0.1,-0.11,-0.13,-0.08,-0.18,-0.14,-0.13
1976,Northern Hemisphere Land & Ocean,0.06,-0.12,-0.32,0.01,-0.28,-0.22,-0.29,-0.23,-0.12,-0.5,-0.32,-0.27,-0.22,-0.21,-0.09,-0.2,-0.25,-0.31
1976,Southern Hemisphere Land & Ocean,-0.11,-0.01,-0.11,-0.19,-0.2,-0.1,0.08,-0.06,-0.06,-0.03,0.24,0.47,-0.01,-0.06,-0.09,-0.16,-0.03,0.05
1976,Global Land,-0.02,-0.08,-0.31,-0.23,-0.24,-0.18,-0.17,-0.24,-0.16,-0.37,-0.16,-0.02,-0.18,-0.2,-0.1,-0.26,-0.19,-0.23
1976,Northern Hemisphere Land,0.18,-0.01,-0.35,-0.07,-0.24,-0.19,-0.25,-0.24,-0.12,-0.6,-0.43,-0.34,-0.22,-0.22,-0.04,-0.22,-0.23,-0.38
1976,Southern Hemisphere Land,-0.2,-0.15,-0.27,-0.38,-0.22,-0.17,-0.08,-0.23,-0.19,-0.16,0.09,0.26,-0.14,-0.18,-0.17,-0.29,-0.16,-0.09
1975,Global Land & Ocean,0.06,0.06,0.13,0.04,0.16,0,-0.01,-0.19,-0.03,-0.1,-0.16,-0.17,-0.02,-0.01,0.01,0.11,-0.07,-0.09
1975,Northern Hemisphere Land & Ocean,0.1,0.07,0.12,0.05,-0.01,-0.06,-0.08,-0.15,-0.09,-0.15,-0.29,-0.22,-0.06,-0.06,-0.04,0.06,-0.1,-0.18
1975,Southern Hemisphere Land & Ocean,0.02,0.05,0.13,0.03,0.31,0.06,0.05,-0.23,0.03,-0.05,-0.04,-0.14,0.02,0.04,0.06,0.16,-0.04,-0.02
1975,Global Land,0.05,0.09,0.13,0.04,0.26,0.04,0.06,-0.25,-0.03,-0.04,-0.06,-0.22,0.01,0.02,0.03,0.14,-0.05,-0.05
1975,Northern Hemisphere Land,0.1,0.07,0.13,0.1,0.05,0.02,0.04,-0.03,0,-0.03,-0.2,-0.29,0,0,-0.03,0.09,0.01,-0.08
1975,Southern Hemisphere Land,0.01,0.1,0.12,-0.02,0.46,0.06,0.1,-0.44,-0.05,-0.06,0.07,-0.16,0.01,0.04,0.09,0.18,-0.09,-0.02
1974,Global Land & Ocean,-0.15,-0.29,-0.06,-0.12,-0.02,-0.07,-0.05,0.1,-0.12,-0.08,-0.07,-0.09,-0.09,-0.08,-0.17,-0.07,0,-0.09
1974,Northern Hemisphere Land & Ocean,-0.33,-0.38,0.02,-0.12,-0.18,-0.2,-0.13,-0.11,-0.17,-0.25,-0.24,-0.29,-0.2,-0.18,-0.24,-0.09,-0.15,-0.22
1974,Southern Hemisphere Land & Ocean,0.02,-0.19,-0.14,-0.13,0.13,0.06,0.03,0.31,-0.06,0.08,0.09,0.1,0.02,0.01,-0.1,-0.05,0.13,0.04
1974,Global Land,-0.07,-0.24,-0.01,-0.08,0.02,0.01,-0.03,0.12,-0.16,-0.08,-0.08,-0.04,-0.05,-0.05,-0.11,-0.03,0.03,-0.11
1974,Northern Hemisphere Land,-0.21,-0.35,0.1,-0.02,-0.12,-0.12,-0.12,-0.04,-0.16,-0.29,-0.19,-0.27,-0.15,-0.12,-0.17,-0.01,-0.1,-0.21
1974,Southern Hemisphere Land,0.06,-0.15,-0.13,-0.15,0.14,0.12,0.06,0.26,-0.16,0.1,0.02,0.16,0.03,0.01,-0.06,-0.05,0.15,-0.01
1973,Global Land & Ocean,0.29,0.3,0.26,0.26,0.25,0.17,0.1,0.03,0.09,0.14,0.06,-0.06,0.16,0.18,0.26,0.26,0.1,0.1
1973,Northern Hemisphere Land & Ocean,0.16,0.43,0.31,0.17,0.11,0.15,0.02,0.01,-0.07,-0.02,-0.1,-0.02,0.1,0.09,0.18,0.2,0.06,-0.06
1973,Southern Hemisphere Land & Ocean,0.42,0.18,0.22,0.34,0.39,0.19,0.18,0.05,0.25,0.29,0.2,-0.11,0.22,0.26,0.35,0.32,0.14,0.25
1973,Global Land,0.25,0.31,0.36,0.34,0.34,0.27,0.19,0.05,0.1,0.19,0.1,-0.02,0.21,0.22,0.23,0.34,0.17,0.13
1973,Northern Hemisphere Land,0.15,0.53,0.5,0.31,0.15,0.27,0.15,0.1,-0.01,0.04,-0.06,0.06,0.18,0.17,0.18,0.32,0.17,-0.01
1973,Southern Hemisphere Land,0.36,0.12,0.24,0.36,0.52,0.27,0.24,0.01,0.21,0.34,0.24,-0.09,0.24,0.28,0.29,0.37,0.17,0.26
1972,Global Land & Ocean,-0.24,-0.17,0.02,0,-0.04,0.05,0,0.17,0.02,0.09,0.03,0.19,0.01,-0.01,-0.17,-0.01,0.08,0.05
1972,Northern Hemisphere Land & Ocean,-0.57,-0.52,-0.02,-0.13,-0.18,-0.1,-0.06,-0.07,-0.28,-0.05,-0.2,-0.05,-0.19,-0.19,-0.42,-0.11,-0.08,-0.18
1972,Southern Hemisphere Land & Ocean,0.09,0.19,0.06,0.13,0.1,0.21,0.07,0.41,0.32,0.23,0.28,0.44,0.21,0.17,0.08,0.1,0.23,0.28
1972,Global Land,-0.3,-0.31,-0.07,-0.06,-0.03,0.07,0.05,0.19,0.05,-0.04,-0.06,0.13,-0.03,-0.05,-0.22,-0.05,0.1,-0.02
1972,Northern Hemisphere Land,-0.63,-0.64,-0.03,-0.24,-0.23,-0.16,-0.03,-0.07,-0.34,-0.07,-0.31,-0.12,-0.24,-0.24,-0.45,-0.17,-0.09,-0.24
1972,Southern Hemisphere Land,0,-0.01,-0.11,0.12,0.17,0.28,0.12,0.42,0.39,-0.02,0.18,0.39,0.16,0.13,-0.01,0.06,0.27,0.18
1971,Global Land & Ocean,-0.02,-0.2,-0.17,-0.08,-0.05,-0.19,-0.11,-0.03,-0.05,-0.07,-0.05,-0.09,-0.09,-0.1,-0.11,-0.1,-0.11,-0.05
1971,Northern Hemisphere Land & Ocean,-0.14,-0.29,-0.26,-0.2,-0.13,-0.15,-0.13,-0.18,-0.14,-0.17,0.01,-0.15,-0.16,-0.17,-0.24,-0.2,-0.15,-0.1
1971,Southern Hemisphere Land & Ocean,0.09,-0.11,-0.09,0.04,0.02,-0.24,-0.1,0.11,0.04,0.03,-0.12,-0.04,-0.03,-0.02,0.01,-0.01,-0.08,-0.02
1971,Global Land,-0.02,-0.14,-0.21,-0.05,-0.07,-0.21,-0.1,0.02,0.01,-0.02,-0.11,-0.05,-0.08,-0.08,-0.09,-0.11,-0.1,-0.04
1971,Northern Hemisphere Land,-0.17,-0.27,-0.3,-0.21,-0.12,-0.15,-0.1,-0.17,-0.06,-0.08,0.03,-0.1,-0.14,-0.16,-0.24,-0.21,-0.14,-0.04
1971,Southern Hemisphere Land,0.11,-0.04,-0.13,0.1,-0.03,-0.27,-0.1,0.2,0.08,0.03,-0.25,-0.02,-0.03,-0.02,0.03,-0.02,-0.05,-0.05
1970,Global Land & Ocean,0.09,0.22,0.08,0.09,-0.04,-0.02,-0.02,-0.09,0.11,0.06,0.02,-0.12,0.03,0.06,0.2,0.04,-0.04,0.06
1970,Northern Hemisphere Land & Ocean,-0.02,0.31,-0.07,0,-0.03,0,-0.03,-0.06,-0.04,-0.17,0.03,-0.3,-0.03,0.02,0.22,-0.03,-0.03,-0.06
1970,Southern Hemisphere Land & Ocean,0.21,0.13,0.23,0.18,-0.05,-0.03,0,-0.11,0.25,0.26,0.01,0.06,0.1,0.11,0.18,0.12,-0.05,0.17
1970,Global Land,0.04,0.27,0.1,0.12,-0.05,0.11,0.09,-0.08,0.15,0.1,0.03,-0.11,0.06,0.1,0.21,0.06,0.04,0.1
1970,Northern Hemisphere Land,-0.1,0.43,-0.03,0.01,0.04,0.1,0.04,-0.01,-0.02,-0.13,0.11,-0.28,0.01,0.08,0.26,0.01,0.04,-0.01
1970,Southern Hemisphere Land,0.16,0.11,0.23,0.2,-0.13,0.13,0.13,-0.13,0.31,0.31,-0.04,0.03,0.11,0.12,0.16,0.1,0.04,0.19
1969,Global Land & Ocean,-0.11,-0.14,0.01,0.18,0.19,0.05,-0.02,0.03,0.09,0.13,0.13,0.28,0.07,0.03,-0.12,0.13,0.02,0.11
1969,Northern Hemisphere Land & Ocean,-0.42,-0.41,-0.15,0.06,0.13,-0.05,0.06,0.04,0.05,0.03,0.16,0.36,-0.01,-0.07,-0.38,0.01,0.02,0.08
1969,Southern Hemisphere Land & Ocean,0.22,0.15,0.18,0.31,0.26,0.16,-0.1,0.03,0.13,0.23,0.1,0.19,0.15,0.14,0.14,0.25,0.03,0.15
1969,Global Land,-0.16,-0.26,-0.1,0.12,0.16,0.05,-0.02,-0.09,0.01,0.09,0.09,0.33,0.02,-0.03,-0.21,0.06,-0.02,0.06
1969,Northern Hemisphere Land,-0.53,-0.59,-0.24,-0.02,0.15,-0.06,0.1,0.02,0,0.06,0.15,0.45,-0.04,-0.11,-0.49,-0.04,0.02,0.07
1969,Southern Hemisphere Land,0.17,0.03,0.03,0.24,0.17,0.14,-0.13,-0.18,0.02,0.1,0.05,0.21,0.07,0.05,0.03,0.15,-0.05,0.06
1968,Global Land & Ocean,-0.26,-0.15,0.21,-0.05,-0.13,-0.07,-0.12,-0.09,-0.18,0.11,-0.03,-0.13,-0.08,-0.07,-0.15,0.01,-0.09,-0.04
1968,Northern Hemisphere Land & Ocean,-0.29,-0.19,0.47,0.01,-0.04,-0.03,-0.08,-0.09,-0.04,0.03,-0.17,-0.29,-0.06,-0.03,-0.14,0.14,-0.06,-0.06
1968,Southern Hemisphere Land & Ocean,-0.22,-0.12,-0.06,-0.12,-0.22,-0.12,-0.16,-0.08,-0.31,0.18,0.11,0.05,-0.09,-0.1,-0.15,-0.14,-0.12,-0.01
1968,Global Land,-0.21,-0.17,0.32,-0.08,-0.18,-0.11,-0.13,-0.08,-0.27,0.06,-0.08,-0.21,-0.09,-0.08,-0.13,0.02,-0.11,-0.09
1968,Northern Hemisphere Land,-0.29,-0.29,0.61,-0.01,-0.12,-0.14,-0.15,-0.17,-0.09,-0.02,-0.23,-0.34,-0.1,-0.07,-0.18,0.16,-0.15,-0.11
